0,1,2,3
"Page  3 ,",,•,
,,,
SFN  2468  (04-2010),,,
"""f  S. e ioec11c t1mu a ions W II S",,,
Date  Stimulated !Stimulated Formation,I Top (Ft)  I Bottom (Ft) I Stimulation Stages,!Volume,]Volume  Units
10/26/2012 Three  Forks 11101 20482,36,92216,Barrels
Type  Treatment ILbs  Proppant 'Acid%,'Maximum  Treatment Pressure (PSI),,'Maximum  Treatment  Rate  (BBLS/Min)
Sand  Frac 3700348 i,9214,,42.2
"Details 100  mesh-144,777",,,
"40170 sand- 1,426,577 20/40  ceramic-2,  128,994",,,
,"I Top (Ft)  l Bottom (Ft),Stimulation  Stages",I Volume,II
Date  Stimulated !Stimulated  Formation,,,!Volume  Units
Type  Trea'.ment !Acid% I Lbs Proppant,I Maximum Treatment Pressure (PSI),,I Maximum  Treatment  Rate  (BBLS/Min)
Details,,,
Date  Stimulated !Stimulated  Formation,I Top (Ft)  I Bottom (Ft)IStimulation  Stages,'Volume,!Volume  Units
Type  Treatment !Acid% I Lbs Proppant,I Maximum Treatment Pressure (PSI),,I Maximum  Treatment  Rate (BBLS/Min)
I I Details,,,
Date  Stimulated !Stimulated  Formation,I Top (Ft)  I Bottom (Ft) I Stimulation Stages,I Volume,!Volume  Units
1Type Trec1'mer:t !Acid% I Lbs Proppant I,I Maximum Treatment  Pressure (PSI),,I Maximum  Treatment  Rate (BBLS/Min)
Details I,,,
:,,,
:Date Stimulated 'Stimulated  Formation,"I Top (Ft)  I Bottom (Ft),Stimulation  Stages",'Volume,'Volume  Units
Type Treatment !Acid% I Lbs Proppant,I Maximum Treatment Pressure (PSI),,I Maximum  Treatment  Rate (BBLS/Min)
J I I !loetails,,,
i I,,,
' :,,,
ADDITIONAL INFORMATION  AND/OR  UST  OF ATTACHMENTS,,,
Email Address,,,Date
bterry@oasispetroleum.com,,,01/16/2013
Brandi  Teny u-_ _,,Regulatory  Specialist,
